Username,Password,Hostname,Manangment IP,Port number,Script
admin,P@ssw0rd,p1psefutm1501_111.1,172.31.111.1,22,cmd_cisco
admin,P@ssw0rd,p1psefutm1601_111.2,172.31.111.2,22,cmd_cisco
admin,P@ssw0rd,p1psefext1301_111.3,172.31.111.3,22,cmd_cisco
admin,P@ssw0rd,p1psefext1401_111.4,172.31.111.4,22,cmd_cisco
admin,P@ssw0rd,p1psefweb1501_111.19,172.31.111.19,22,cmd_cisco
admin,P@ssw0rd,p1psefweb1601_111.20,172.31.111.20,22,cmd_cisco
admin,P@ssw0rd,p1psefana1301_111.13,172.31.111.13,22,cmd_cisco
admin,P@ssw0rd,p1psefana1401_111.14,172.31.111.14,22,cmd_cisco
admin,P@ssw0rd,p1psefpro1301_111.9,172.31.111.9,22,cmd_cisco
admin,P@ssw0rd,p1psefpro1401_111.1,172.31.111.10,22,cmd_cisco
admin,P@ssw0rd,p1psefmai1301_111.5,172.31.111.5,22,cmd_fml_show
admin,P@ssw0rd,p1psefmai1401_111.6,172.31.111.6,22,cmd_fml_show
admin,P@ssw0rd,p1psefsan1301_111.11,172.31.111.11,22,cmd_cisco
admin,P@ssw0rd,p1psefsan1401_111.12,172.31.111.12,22,cmd_cisco
admin,P@ssw0rd,p1psefvpn1501_111.15,172.31.111.15,22,cmd_cisco
admin,P@ssw0rd,p1psefvpn1601_111.16,172.31.111.16,22,cmd_cisco
admin,P@ssw0rd,p1psefaut1301_111.21,172.31.111.21,22,cmd_cisco
admin,P@ssw0rd,p1psefaut1401_111.22,172.31.111.22,22,cmd_cisco
admin,P@ssw0rd,p1psefoob1301_111.7,172.31.111.7,22,cmd_cisco
admin,P@ssw0rd,p1psefoob1401_111.8,172.31.111.8,22,cmd_cisco
admin,P@ssw0rd,p2psefutm1501_121.1,172.31.121.1,22,cmd_cisco
admin,P@ssw0rd,p2psefutm1601_121.2,172.31.121.2,22,cmd_cisco
admin,P@ssw0rd,p2psefext1301_121.3,172.31.121.3,22,cmd_cisco
admin,P@ssw0rd,p2psefext1401_121.4,172.31.121.4,22,cmd_cisco
admin,P@ssw0rd,p2psefweb1501_121.19,172.31.121.19,22,cmd_cisco
admin,P@ssw0rd,p2psefweb1601_121.20,172.31.121.20,22,cmd_cisco
admin,P@ssw0rd,p2psefana1301_121.13,172.31.121.13,22,cmd_cisco
admin,P@ssw0rd,p2psefana1401_121.14,172.31.121.14,22,cmd_cisco
admin,P@ssw0rd,p2psefpro1301_121.9,172.31.121.9,22,cmd_cisco
admin,P@ssw0rd,p2psefpro1401_121.1,172.31.121.10,22,cmd_cisco
admin,P@ssw0rd,p2psefmai1301_121.5,172.31.121.5,22,cmd_fml_show
admin,P@ssw0rd,p2psefmai1401_121.6,172.31.121.6,22,cmd_fml_show
admin,P@ssw0rd,p2psefsan1301_121.11,172.31.121.11,22,cmd_cisco
admin,P@ssw0rd,p2psefsan1401_121.12,172.31.121.12,22,cmd_cisco
admin,P@ssw0rd,p2psefvpn1501_121.15,172.31.121.15,22,cmd_cisco
admin,P@ssw0rd,p2psefvpn1601_121.16,172.31.121.16,22,cmd_cisco
admin,P@ssw0rd,p2psefaut1301_121.21,172.31.121.21,22,cmd_cisco
admin,P@ssw0rd,p2psefaut1401_121.22,172.31.121.22,22,cmd_cisco
admin,P@ssw0rd,p2psefoob1301_121.7,172.31.121.7,22,cmd_cisco
admin,P@ssw0rd,p2psefoob1401_121.8,172.31.121.8,22,cmd_cisco
